Year,Institute_ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
2022,IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,39.64,106.0,56.46,26.12,54.25,35.49,4.63
2022,IR-E-U-0460,Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,39.43,107.0,50.77,30.7,43.86,51.16,10.95
2022,IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,39.32,108.0,63.58,16.86,43.79,59.74,4.63
2022,IR-E-C-36926,Kumaraguru College of Technology,Coimbatore,Tamil Nadu,39.32,108.0,59.36,15.32,54.13,45.08,15.69
2022,IR-E-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,39.24,110.0,60.64,12.79,54.11,52.55,11.37
2022,IR-E-U-0367,Veer Surendra Sai University of Technology,Burla,Odisha,39.14,111.0,54.79,27.21,47.7,46.43,3.65
2022,IR-E-U-0795,Indian Institute of Information Technology Guwahati,Guwahati,Assam,39.09,112.0,50.78,11.48,56.46,59.0,32.15
2022,IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Hyderabad,Telangana,39.04,113.0,59.74,14.47,53.54,50.56,10.11
2022,IR-E-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,38.87,114.0,62.71,15.6,46.03,57.56,4.14
2022,IR-E-U-0223,"Jain University, Bangalore",Bengluru,Karnataka,38.55,115.0,53.63,22.75,47.37,58.6,3.14
2022,IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,38.51,116.0,65.58,9.67,54.35,48.12,2.64
